date,Soil Moisture Resistance (Ohm),Ambient Temperature (deg. C),Atmospheric Humidity (%),DC Water pump Status
01-03-2023 00:00,638,30.6,60,1
01-03-2023 00:15,522,30.6,37,1
01-03-2023 00:30,741,30.6,40,1
01-03-2023 00:45,798,30.6,40,1
01-03-2023 01:00,690,30.6,67,1
01-03-2023 01:15,558,32.8,28,1
01-03-2023 01:30,578,32.7,69,1
01-03-2023 01:45,673,27,32,1
01-03-2023 02:00,642,25,39,1
01-03-2023 02:15,723,32.6,58,1
01-03-2023 02:30,671,33.3,27,1
01-03-2023 02:45,758,30.5,66,1
01-03-2023 03:00,507,30.5,32,1
01-03-2023 03:15,586,33.4,53,1
01-03-2023 03:30,703,26,26,1
01-03-2023 03:45,716,32.7,33,1
01-03-2023 04:00,724,30.5,66,1
01-03-2023 04:15,828,30.6,65,1
01-03-2023 04:30,633,25,32,1
01-03-2023 04:45,783,30.5,61,1
01-03-2023 05:00,635,30.1,24,1
01-03-2023 05:15,525,32.1,58,1
01-03-2023 05:30,636,32.8,67,1
01-03-2023 05:45,813,30.2,20,1
01-03-2023 06:00,736,25,50,1
01-03-2023 06:15,833,30.6,26,1
01-03-2023 06:30,808,30.3,21,1
01-03-2023 06:45,714,32.8,64,1
01-03-2023 07:00,806,26,31,1
01-03-2023 07:15,681,32.7,39,1
01-03-2023 07:30,661,30.5,45,1
01-03-2023 07:45,546,30.1,46,1
01-03-2023 08:00,759,32.8,68,1
01-03-2023 08:15,803,30,52,1
01-03-2023 08:30,670,26,40,1
01-03-2023 08:45,796,33.4,23,1
01-03-2023 09:00,665,25,46,1
01-03-2023 09:15,687,30.1,70,1
01-03-2023 09:30,573,27,34,1
01-03-2023 09:45,812,32.4,20,1
01-03-2023 10:00,698,25,21,1
01-03-2023 10:15,675,32.2,43,1
01-03-2023 10:30,700,32.4,22,1
01-03-2023 10:45,749,30.6,29,1
01-03-2023 11:00,537,32.7,60,1
01-03-2023 11:15,748,25,44,1
01-03-2023 11:30,824,30.2,36,1
01-03-2023 11:45,839,26,62,1
01-03-2023 12:00,740,32.9,59,1
01-03-2023 12:15,533,32.9,29,1
01-03-2023 12:30,775,33.4,32,1
01-03-2023 12:45,663,30.6,41,1
01-03-2023 13:00,639,26,49,1
01-03-2023 13:15,612,32.7,41,1
01-03-2023 13:30,580,33.4,66,1
01-03-2023 13:45,632,25,27,1
01-03-2023 14:00,535,30.1,50,1
01-03-2023 14:15,818,33.4,57,1
01-03-2023 14:30,503,30.3,55,1
01-03-2023 14:45,788,25,59,1
01-03-2023 15:00,513,30.1,67,1
01-03-2023 15:15,729,32.8,26,1
01-03-2023 15:30,659,33.4,42,1
01-03-2023 15:45,629,25,43,1
